0;0;0;0;x;x;
1;0;0;0;Gortyheloissa;x;
2;171;128;0;Naukanene;x;
3;248;0;0;vales;x;
4;115;0;0;Gortyleiine;x;
5;90;0;0;Mislaminda;x;
6;130;0;0;Kaimetcum;x;
7;25;0;0;Colcarmos;x;
8;212;128;7;Callikorinai;x;
9;100;0;5;Nympapollthena;x;
10;50;0;0;Olbimisissa;x;
11;45;0;10;Golgankrea;x;
12;232;128;11;Idakerias;x;
13;73;128;7;Lesdelrias;x;
14;200;128;5;Goncleosos;x;
15;121;128;11;Kynlepronia;x;
16;210;124;9;Elatgythlia;x;
17;216;128;16;Hublhyaea;x;
18;151;128;17;Gokanpetra;x;
19;193;128;18;Byllmalissa;x;
20;145;128;19;Kamodpetra;x;
21;100;0;20;Mantiolbila;x;
22;94;128;21;trebon;x;
23;134;128;21;Oropetta;x;
24;20;0;20;Iolgonion;x;
25;145;128;24;Gyrthiantigion;x;
26;25;0;25;Halimyder;x;
27;166;128;26;Kepclaeia;x;
28;207;128;26;besalu;x;
29;110;128;28;Caloriyra;x;
30;247;128;27;Mukengyrthitrias;x;
31;127;205;36;malaga;x;
32;56;128;29;Byzhistruf;x;
33;194;128;32;Gaalaila;x;
34;204;128;33;ellwangen;x;
35;68;128;33;Kameirmilae;x;
36;54;128;32;Leomassaosse;x;
37;111;128;36;Laodoryyra;x;
38;168;128;36;Kallikiolia;x;
39;159;128;34;Madylefkita;x;
40;224;128;35;Mylargica;x;
41;100;0;40;Imbrmantiatrea;x;
42;213;128;41;Gonlampsios;x;
43;74;128;42;bekes;x;
44;155;186;18;Oehellesrias;x;
45;180;128;44;Kandematrea;x;
46;211;128;45;Mantleontpetra;x;
47;150;128;46;Leseryinon;x;
48;76;128;41;Elhellesoas;x;
49;212;128;48;Misaigosalous;x;
50;249;128;47;Athandinon;x;
51;165;128;49;Clahemerodia;x;
52;23;128;50;Hierargus;x;
53;248;128;52;Mukmocium;x;
54;96;128;53;Metgourthrae;x;
55;194;0;54;ciudad_real;x;
56;97;128;53;Aenlampsalia;x;
57;107;128;55;Morglampsainda;x;
58;106;128;48;Knidmuliana;x;
59;81;100;56;Hyedorai;x;
60;129;128;59;Knosoenine;x;
61;182;128;59;Kallileilia;x;
62;100;0;60;Leimorgalia;x;
63;189;128;61;Nympberlia;x;
64;60;0;60;Dicaeahemeion;x;
65;96;128;64;Epidolbiaea;x;
66;135;0;65;Katlidia;x;
67;193;128;61;thatta;x;
68;61;128;64;Hermhalicate;x;
69;116;128;64;Cebracanion;x;
70;245;128;64;Mantioriclia;x;
71;89;128;62;Cherslesalous;x;
72;142;128;69;Lefhierathos;x;
73;68;128;65;Dimoprias;x;
74;231;128;70;Mocholymlia;x;
75;255;128;74;Moneretatrea;x;
76;153;128;75;Lalampeia;x;
77;188;128;75;Lapiodesrias;x;
78;171;0;77;gelgaudiskis;x;
79;79;128;70;Gyrthilapithium;x;
80;238;112;32;Monastimukenessa;x;
81;100;0;80;Boryshistrtes;x;
82;247;116;35;ranipet;x;
83;247;128;75;Arscorcoas;x;
84;221;132;11;Orchclazae;x;
85;255;0;100;Amaryankonia;x;
86;100;0;100;Lebekasmica;x;
87;120;0;100;Hubmonastillai;x;
88;180;0;100;Gonoputhus;x;
89;140;0;100;Maratheraoli;x;
90;20;0;100;Opmonasum;x;
91;0;0;100;Empaigosuf;x;
92;80;0;100;Mantinmetapondos;x;
93;60;0;100;Keitauf;x;
94;200;0;100;Cnikaiita;x;
95;110;0;110;Megasiessa;x;
96;228;215;67;Amimukenosse;x;
97;238;54;39;Klazohubldia;x;
98;100;0;120;Kimmekepthos;x;
99;248;56;17;Larisbergmenus;x;
100;255;0;130;Ankmanmos;x;
101;114;124;33;Aegmethaine;x;
102;100;0;140;Misastlia;x;
103;126;0;140;Lepandios;x;
104;175;205;58;Caryitanosse;x;
105;156;210;0;Gankalessa;x;
106;168;89;40;Marathmaltrias;x;
107;200;140;10;Cleomagnelia;x;
108;139;186;39;Marathnes;x;
109;157;222;5;Kegolglia;x;
110;144;128;171;jonzac;x;
111;224;128;171;Metaoroina;x;
112;89;62;37;Bybdimpetra;x;
113;133;221;39;Diohalitherna;x;
114;144;229;27;Massademosia;x;
115;167;116;54;Origelatrea;x;
116;185;240;61;Itlilapetra;x;
117;255;205;68;Kynemporcum;x;
118;234;213;57;Gournephyrosia;x;
119;236;210;11;Demetbrauon;x;
120;86;245;7;Megalklaztrias;x;
121;201;240;67;Golgclazmenus;x;
122;98;72;51;Monastablia;x;
123;104;0;238;saint_malo;x;
124;214;128;241;marseille;x;
125;107;186;58;Olynasssos;x;
126;202;86;14;Kameireubum;x;
127;5;128;250;quimper;x;
128;75;226;7;Halickoeia;x;
129;56;89;62;Gonbraai;x;
130;123;129;2;Odelampscia;x;
131;125;129;4;rehti;x;
132;192;129;4;Lekhakatacum;x;
133;173;183;15;Ithlamoas;x;
134;68;129;7;Haliopene;x;
135;225;129;7;lucca;x;
136;250;129;8;Moeryita;x;
137;175;129;10;Kanberglia;x;
138;58;129;11;Boukynae;x;
139;155;237;32;Gazkamathrae;x;
140;100;129;13;Abopium;x;
141;239;129;14;Lekhkumrea;x;
142;60;129;15;lahur;x;
143;130;129;15;Gythigyrthalous;x;
144;124;129;17;Amihemeosse;x;
145;143;129;18;Megkomenus;x;
146;122;129;18;Barlamiissa;x;
147;45;1;20;Mantinlemea;x;
148;195;129;18;Agrinaigae;x;
149;105;113;28;Kourmanosia;x;
150;66;129;17;Calkameon;x;
151;189;183;19;Mantiopae;x;
152;148;129;25;Metapolefkaios;x;
153;245;129;25;Methoedeila;x;
154;227;129;27;Laminicnae;x;
155;127;129;28;Methoberlis;x;
156;235;186;66;Orchbraon;x;
157;119;129;30;Lapiopuaea;x;
158;171;129;29;Boulapithlia;x;
159;93;129;32;Athgourai;x;
160;170;129;34;Lefkalarirea;x;
161;230;129;36;Diosempotiri;x;
162;100;129;36;Akrhistthrae;x;
163;209;129;36;Amiiolaea;x;
164;107;78;31;Mukbyllosse;x;
165;238;129;40;Amadioina;x;
166;164;129;42;Mantinkorintes;x;
167;100;129;42;Histdimae;x;
168;190;105;45;Laugazus;x;
169;122;129;46;Monoastmagissa;x;
170;70;129;47;Methukullai;x;
171;63;129;48;Myclazmenus;x;
172;50;129;48;Kamillllai;x;
173;95;129;49;Marmaederias;x;
174;185;129;51;Morbouder;x;
175;172;129;51;Emporoplia;x;
176;66;129;51;Kercalythrae;x;
177;222;129;54;Halineaina;x;
178;220;129;55;Kumasklissa;x;
179;50;129;56;Demdiomos;x;
180;226;129;57;Amarygorosia;x;
181;228;129;58;Hiekorithrae;x;
182;77;129;57;weiden;x;
183;102;129;60;Chaassita;x;
184;232;129;60;Madymonastithus;x;
185;235;129;62;Emporimnes;x;
